zip,count
03084,1
03086,1
03087,10
03101,2
03102,5
03103,10
03104,11
03106,10
03109,4
03110,10
03215,2
03217,1
03218,2
03220,4
03222,4
03223,3
03224,2
03225,1
03229,4
03233,1
03234,1
03235,2
03237,1
03242,3
03244,5
03246,7
03249,9
03251,2
03253,4
03254,4
03255,2
03256,1
03257,6
03258,1
03261,3
03263,1
03264,3
03266,1
03269,2
03275,6
03276,4
03278,2
03279,1
03280,1
03281,5
03285,1
03287,1
03290,2
03296,1
03301,10
03303,3
03304,3
03307,2
03431,10
03440,2
03442,2
03446,2
03449,1
03451,1
03455,1
03457,1
03458,2
03461,4
03465,1
03466,1
03467,2
03470,1
03561,2
03576,3
03580,1
03584,1
03586,1
03593,1
03598,1
03603,1
03608,2
03743,4
03753,4
03755,4
03766,8
03773,3
03774,1
03780,1
03781,1
03782,5
03784,1
03801,23
03802,1
03809,1
03810,2
03811,2
03813,2
03814,4
03816,1
03820,19
03823,3
03824,3
03825,6
03827,3
03830,1
03833,7
03835,1
03836,2
03837,4
03839,2
03840,4
03841,4
03842,13
03844,1
03845,1
03846,1
03847,1
03851,4
03854,1
03855,2
03856,1
03857,6
03858,6
03860,2
03861,4
03862,5
03865,1
03867,6
03868,2
03870,4
03872,3
03874,1
03878,8
03884,4
03885,2
03890,2
03894,6
03901,1
03902,1
03903,7
03904,2
03905,2
03906,1
03907,2
03908,4
03909,6
03910,1
04001,1
04002,1
04004,1
04005,7
04008,4
04009,2
04010,1
04011,11
04014,1
04015,1
04021,7
04027,4
04030,1
04032,5
04037,2
04038,9
04039,3
04040,2
04042,3
04043,9
04046,5
04047,1
04048,3
04049,3
04051,1
04054,1
04055,2
04062,12
04064,5
04069,3
04070,1
04071,2
04072,8
04073,6
04074,19
04076,1
04079,1
04083,1
04084,3
04086,9
04087,1
04090,2
04091,1
04092,6
04093,2
04094,1
04096,7
04097,2
04101,12
04102,12
04103,15
04105,7
04106,10
04107,4
04110,2
04202,1
04210,7
04211,1
04217,2
04220,2
04222,3
04226,1
04236,2
04239,4
04240,8
04250,1
04252,2
04258,1
04260,3
04261,1
04263,1
04265,1
04268,1
04274,6
04280,3
04281,1
04285,1
04287,2
04290,2
04294,1
04330,16
04344,1
04345,10
04346,1
04347,3
04348,4
04350,3
04351,3
04352,1
04353,1
04354,1
04355,1
04357,3
04358,3
04359,1
04364,6
04375,1
04401,22
04410,2
04411,1
04412,4
04416,3
04419,1
04421,2
04426,3
04429,5
04430,1
04431,1
04434,1
04441,3
04443,1
04444,7
04449,1
04450,1
04453,1
04456,1
04457,4
04459,1
04460,1
04461,2
04462,3
04463,1
04464,2
04468,5
04469,1
04473,9
04474,4
04478,1
04481,1
04487,1
04489,1
04493,2
04496,5
04530,2
04535,2
04537,1
04539,3
04543,1
04544,1
04548,1
04553,3
04555,1
04562,5
04572,1
04574,1
04578,2
04579,1
04605,7
04609,4
04611,1
04614,1
04617,3
04619,2
04627,1
04630,1
04634,1
04640,1
04650,1
04652,1
04653,1
04654,2
04655,2
04660,1
04664,1
04667,1
04671,1
04675,1
04679,3
04691,1
04730,2
04732,1
04735,1
04736,5
04740,2
04743,4
04747,1
04761,1
04769,5
04772,2
04781,1
04841,10
04843,4
04847,2
04849,6
04856,2
04858,1
04859,1
04861,2
04862,1
04864,2
04901,8
0491,1
04910,1
04915,4
04917,1
04920,1
04921,3
04928,3
04930,1
04937,1
04938,3
04947,1
04951,1
04952,2
04957,1
04961,2
04963,3
04967,3
04969,1
04971,1
04974,1
04976,5
04981,3
04983,1
04989,3
05001,2
050021,1
05022,1
05031,1
05032,1
05033,4
05035,1
05037,1
05038,1
05039,1
05046,1
05048,3
05053,1
05055,5
05059,2
05060,4
05062,1
05068,2
05072,2
05075,1
05089,1
05091,1
05143,1
05149,2
05151,1
05153,1
05154,2
05155,1
05156,1
05158,1
05201,5
05250,4
05260,2
05261,1
05262,1
05301,7
05302,1
05340,1
05345,1
05351,1
05353,1
05354,3
05362,1
05401,24
05403,17
05404,2
05405,1
05408,3
05443,1
05445,2
05446,12
05450,1
05451,1
05452,11
05454,2
05456,1
05457,1
05458,1
05459,2
05461,1
05462,2
05463,1
05465,7
05468,5
05470,1
05472,1
05473,2
05474,1
05477,4
05478,8
05483,1
05487,3
05488,3
05489,3
05490,1
05491,3
05494,1
05495,5
05602,8
05640,1
05641,5
05648,1
05649,1
05650,1
05653,2
05655,3
05656,1
05658,2
05660,2
05661,2
05663,4
05667,1
05672,3
05673,1
05674,2
05675,1
05676,7
05677,2
05679,1
05680,1
05689,1
05701,5
05705270,1
05734,1
05735,4
05739,1
05744,1
05751,3
05753,4
05758,1
05759,1
05761,2
05762,1
05764,1
05767,1
05769,1
05772,1
05773,1
05819,6
05828,4
05830,1
05846,1
05851,4
05853,1
05855,1
0586,1
05862,2
05872,1
05903,1
06001,5
06002,4
06010,13
06013,3
06016,4
06019,6
06021,1
06022,1
06023,2
06026,9
06029,11
06032,6
06033,15
06035,5
06037,8
06039,2
06040,9
06042,7
06043,4
06051,2
06053,5
06057,5
06058,1
06060,1
06062,8
06063,3
06066,14
06067,8
06068,2
06069,2
06070,4
06071,3
06073,4
06074,6
06076,4
06078,8
06082,14
06084,14
06085,4
06090,1
06092,3
06093,1
06094,1
06095,9
06096,2
06098,3
06100,1
06103,2
06105,4
06106,2
06107,8
06108,1
06109,3
06110,2
06111,7
06112,2
06114,2
06117,6
06118,5
06119,4
06210,1
06215,1
06226,2
06231,2
06234,1
06235,2
06237,3
06238,12
06239,5
06241,2
